,name,desc,class,link
0,Printed Cotton Regular Fit Men's Shirts,"A perfect match for your shorts or denim, this casual shirt with full sleeves and a collared neckline from Infuse works wonders on a beach event or hanging out with friends. Stitched from the softest cotton, its bold abstract prints all over are sure to update your signature wardrobe.", Woven  Shirts  India  Cotton  Full   Regular  Printed  Single  Casual Wear  Regular Neckline Collared,https://www.shoppersstop.com/infuse-printed-cotton-regular-fit-men-s-shirts/p-A22INMST2228/colorChange/A22INMST2228_BLUE?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
1,Checks Cotton Slim Fit Men's Casual Shirt,., India Collection Shirt Stretch Non Stretchable  100% Cotton Collar Regular Collar Category Shirt  Full   Regular  Checks  Pack of 1  Casual Wear  NA,https://www.shoppersstop.com/life-checks-cotton-slim-fit-men-s-casual-shirt/p-S21183FSCHC4IB/colorChange/S21183FSCHC4IB_INK_BLUE?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
2,Structured Cotton Blend Regular Fit Men's Shirt,., India  Cotton Blend Collar Regular Collar  Half   Regular   Pack of 1,https://www.shoppersstop.com/fratini-structured-cotton-blend-regular-fit-men-s-shirt/p-S21831KNITS27FO/colorChange/S21831KNITS27FO_FOREST?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
3,Printed Rayon Comfort Fit Men's Casual Shirt,., India  100% Rayon  Half   Pack of 1,https://www.shoppersstop.com/infuse-printed-rayon-comfort-fit-men-s-casual-shirt/p-A21INFUSE05/colorChange/A21INFUSE05_RED?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
4,Printed Georgette Mens Festive Wear Kurta,"White, printed, georgette kurta by Bandeya. This kurta is full-sleeved, has a mandarin collar, button-down detail at the front and a print all over the fabric. The kurta is sure to get you some compliments!", Kurtas Neckline Round Neck  Woven  India  Single  Knee   Full   Georgette  Festive Wear  Printed  Slim,https://www.shoppersstop.com/bandeya-printed-georgette-mens-festive-wear-kurta/p-S23LKCHNSEQWH73/colorChange/S23LKCHNSEQWH73_WHITE?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
5,Printed Cotton Regular Fit Men's T-Shirt,Printed Striper Polo For Perfect Style And Looks In Premium Combed Cotton Jersey  Is Soft & Comfortable For All Day Wear Due To Its Good Absorbency & Breathability., India  Half   Regular Neckline Polo  Printed  Cotton  Pack of 1  Casual Wear Collar Regular Collar,https://www.shoppersstop.com/life-printed-cotton-regular-fit-men-s-t-shirt/p-S21183PAOP514G/colorChange/S21183PAOP514G_GREEN?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
6,Printed Cotton Regular Fit Men's Shirts,"This casual full-sleeved shirt for men with a regular fit and collared neckline from Infuse exceeds your expectation every time you step out for a social outing. Its pure cotton fabric ensures total comfort, while the bright prints showcase chic vibes for easy put-together looks. The sleeves can be rolled up to look more stylish.", Woven  Shirts  India  Cotton  Full   Regular  Printed  Single  Casual Wear  Regular Neckline Collared,https://www.shoppersstop.com/infuse-printed-cotton-regular-fit-men-s-shirts/p-A22INMST2231/colorChange/A22INMST2231_BROWN?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
7,Printed Cotton Blend Mens Semi-Casual Kurta,"Smart, stylish, and ethnic are three words that best describe the Bandeya Printed Cotton Blend Men's Semi-Casual Kurta. Sporting an eye-catching printed design, this kurta for men is hued in a lovely pink shade. Made from a cotton blend in a regular fit, this kurta for men ensures all-day comfort. Pair it with contrast-coloured pants and your favourite shoes to complete your look.", India Category Kurta  Cotton Blend  Casual Wear  Printed  Regular,https://www.shoppersstop.com/bandeya-printed-cotton-blend-men-s-semi-casual-kurta/p-S21MEKUFSHRPRPK/colorChange/S21MEKUFSHRPRPK_PINK?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
8,Stripes Polyester Viscose Slim Men's Trousers,., Trousers  India  Polyester Viscose  Stripes Waist Rise Mid Rise  Slim Closure Type Zip  Full   Single  Semi Formal  Mens Volume 430 Ml,https://www.shoppersstop.com/louis-philippe-stripes-polyester-viscose-slim-men-s-trousers/p-S22TFMSLPV17345/colorChange/S22TFMSLPV17345_BLACK?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
9,Solid Cotton Regular Fit Men's T-Shirt,"Complete your wardrobe with this basic t-shirt in a refreshing green tone. It is also available in a bright orange, a subtle peach, a soft pink, a cool turquoise, and a trendy yellow hue. You can wear it with a pair of jeans or underneath a jacket or shirt.", India  Half   Regular Neckline Round Neck  Solid  Cotton  Pack of 1  Casual Wear Collar Regular Collar  T-Shirts  Knit,https://www.shoppersstop.com/stop-solid-cotton-regular-fit-men-s-t-shirt/p-S22STSOLIDTEE/colorChange/S22STSOLIDTEE_DULL_ROSE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
10,Solid Cotton Blend Regular Fit Men's Work Wear Shirt,RIAG - BY RISHABH AGARWAL are the Mens Wear Manufacturer brand Based In Gurgaon. From Casual and formal shirts to kurta and kurta sets and nehru jackets you can get it all under one brand. Feel The Richness Of  and Comfort.. Feel Free to Connect With Us on 9910015110, Shirts  Knit  India  Cotton Blend Collar Spread Collar  Full   Regular  Solid  Single  Work Wear,https://www.shoppersstop.com/riag-solid-cotton-blend-regular-fit-men-s-work-wear-shirt/p-S23RIFSHWHITE/colorChange/S23RIFSHWHITE_WHITE?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
11,Checks Polyester Viscose Slim Fit Men's Trousers,., Trousers  India  Polyester Viscose  Checks Waist Rise Mid Rise  Slim Closure Type Front Zip  Regular  Single  Work Wear,https://www.shoppersstop.com/louis-philippe-checks-polyester-viscose-slim-fit-men-s-trousers/p-S22TFMSSHS23342/colorChange/S22TFMSSHS23342_NAVY?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
12,Solid Cotton Men's Briefs,., India  Knit  Essential  Brief  Pack of 2  Cotton  Solid,https://www.shoppersstop.com/jockey-solid-cotton-men-s-briefs/p-205011645/colorChange/205011645_ASSORTED?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
13,Solid Cotton Slim Fit Men's T-Shirt,., Bangladesh  T-Shirts  Knit  Half   Slim Neckline Polo  Solid  Cotton  Single  Casual Wear,https://www.shoppersstop.com/calvin-klein-solid-cotton-slim-fit-men-s-t-shirt/p-SS23J322588DARB/colorChange/SS23J322588DARB_BLUE?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
14,Solid Linen Slim Fit Men's Casual Shirt,"The Fratini Solid Linen Slim  Men's Casual Shirt is the perfect summer shirt to wear with chinos or a pair of shorts. For a sophisticated-casual style, you may wear this navy-hued shirt on its own or beneath a fitted jacket. Dress casually with a pair of loafers you love.", Shirts  India  Linen Collar Regular Collar  Full   Slim  Solid  Single  Casual Wear  Regular  Mens,https://www.shoppersstop.com/fratini-solid-linen-slim-fit-men-s-casual-shirt/p-S22FSSHLRKS7CO/colorChange/S22FSSHLRKS7CO_CORAL?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
15,Printed Viscose  Slim Fit Mens Shirt,"Blue, viscose blend, slim-fit shirt by Life. This printed shirt is a must-have on those vacation days. It flows and fits to the contours of your body due to the fabric.", Woven  Shirts  India  Viscose Collar Regular Collar  Half   Slim  Printed  Single  Casual Wear Neckline Collared,https://www.shoppersstop.com/life-printed-viscose-slim-fit-mens-shirt/p-S23VISPRNT165BL/colorChange/S23VISPRNT165BL_BLUE?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
16,Solid Cotton Regular Fit Mens Casual Shirt,AS CASUAL SHIRT SOLID FS, Shirts  India  Cotton Collar Regular Collar  Full   Regular  Solid  Single  Work Wear Neckline Regular,https://www.shoppersstop.com/allen-solly-solid-cotton-regular-fit-mens-casual-shirt/p-A22SFQSPPB11818/colorChange/A22SFQSPPB11818_WHITE?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
17,Printed Crepe Slim Fit Men's Casual Shirt,., Shirts  India  Crepe Collar Spread Collar  Full   Slim  Printed  Single  Casual Wear  Neckline Collared,https://www.shoppersstop.com/tistabene-printed-crepe-slim-fit-men-s-casual-shirt/p-A22MSH0040/colorChange/A22MSH0040_RED?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
18,Graphic Cotton Regular Fit Men's T-Shirt,"This vibrant Infuse Graphic Cotton Regular  Men's t-shirt suits a wide range of aesthetics; you can style it with a baggy cargo and converse or keep it simple with denim shorts, depending on your mood.", India  Sleeveless  Regular  Graphic  Cotton  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/infuse-graphic-cotton-regular-fit-men-s-t-shirt/p-A22INFMT1143/colorChange/A22INFMT1143_WINE?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
19,Solid Cotton Slim Fit Men's Casual Shirt,., Shirts  India  Cotton Collar Regular Collar  Full   Slim  Solid  Single  Casual Wear  Mens Neckline Round Neck,https://www.shoppersstop.com/louis-philippe-jeans-solid-cotton-slim-fit-men-s-casual-shirt/p-A22SFCSSPT97087/colorChange/A22SFCSSPT97087_OLIVE?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
20,Cotton Blend Mens Shorts,., India Category Shorts  Knee length  Pack of 1  Cotton Blend  Solid  Regular Waist Rise Mid Rise  Casual Wear,https://www.shoppersstop.com/fratini-cotton-blend-mens-shorts/p-S21831KNTST11OM/colorChange/S21831KNTST11OM_OATMEAL_MELANGE?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
21,Striped Cotton Regular Fit Men's T-Shirt,"Flaunt your unique sense of style as you opt for this stylish Striped Cotton Regular  Men's T-Shirt. If you are looking to buy dark coral men’s t-shirt online, pick this striped pattern t-shirt that features a polo neck and half sleeves. Crafted from breathable cotton material, this men’s t-shirt features a comfy regular fit. Match this men’s t-shirt with a pair of shorts and classy sneakers.", India Collar NA  Half   Regular Neckline Polo  Stripes  Cotton  Pack of 1  Casual Wear,https://www.shoppersstop.com/fratini-striped-cotton-regular-fit-men-s-t-shirt/p-S21831RGYPO16CO/colorChange/S21831RGYPO16CO_DARK_CORAL?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
22,Stripes Cotton  Slim Fit Mens Shirt,., Woven  Shirts  India  Cotton Collar Button Down Collar  Full   Slim  Stripes  Single  Casual Wear Neckline Collared,https://www.shoppersstop.com/fratini-stripes-cotton-slim-fit-mens-shirt/p-S23FOXFSTP183BL/colorChange/S23FOXFSTP183BL_BLUE?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D6&totalResultVal=24600&searchPageType=category
